requirement_id,source_id,source_version,source_requirement,applicability,applicability_approver,mandatory,severity,test_method,expected_result,actual_result,evidence_id,evidence,evidence_sha256,result,limitation,owner,hazard_id,design_item_id,test_id,deviation_id,residual_risk_id,stage_approval_id
MEMO-S-004,NIST-SP-800-218,1.1,PO.2.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-005,NIST-SP-800-218,1.1,PO.2.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-006,NIST-SP-800-218,1.1,PO.2.3,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-007,NIST-SP-800-218,1.1,PO.3.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-008,NIST-SP-800-218,1.1,PO.3.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-009,NIST-SP-800-218,1.1,PO.3.3,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-010,NIST-SP-800-218,1.1,PO.4.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-011,NIST-SP-800-218,1.1,PO.4.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-012,NIST-SP-800-218,1.1,PO.5.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-013,NIST-SP-800-218,1.1,PO.5.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-014,NIST-SP-800-218,1.1,PS.1.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-015,NIST-SP-800-218,1.1,PS.2.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-016,NIST-SP-800-218,1.1,PS.3.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-017,NIST-SP-800-218,1.1,PS.3.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-018,NIST-SP-800-218,1.1,PW.1.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-019,NIST-SP-800-218,1.1,PW.1.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-020,NIST-SP-800-218,1.1,PW.1.3,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-021,NIST-SP-800-218,1.1,PW.2.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-022,NIST-SP-800-218,1.1,PW.3.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-023,NIST-SP-800-218,1.1,PW.3.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-024,NIST-SP-800-218,1.1,PW.4.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-025,NIST-SP-800-218,1.1,PW.4.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-026,NIST-SP-800-218,1.1,PW.4.3,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-027,NIST-SP-800-218,1.1,PW.4.4,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-028,NIST-SP-800-218,1.1,PW.4.5,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-029,NIST-SP-800-218,1.1,PW.5.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-030,NIST-SP-800-218,1.1,PW.5.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-031,NIST-SP-800-218,1.1,PW.6.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-032,NIST-SP-800-218,1.1,PW.6.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-033,NIST-SP-800-218,1.1,PW.7.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-034,NIST-SP-800-218,1.1,PW.7.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-035,NIST-SP-800-218,1.1,PW.8.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-036,NIST-SP-800-218,1.1,PW.8.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-037,NIST-SP-800-218,1.1,PW.9.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-038,NIST-SP-800-218,1.1,PW.9.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-039,NIST-SP-800-218,1.1,RV.1.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-040,NIST-SP-800-218,1.1,RV.1.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-041,NIST-SP-800-218,1.1,RV.1.3,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-042,NIST-SP-800-218,1.1,RV.2.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-043,NIST-SP-800-218,1.1,RV.2.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-044,NIST-SP-800-218,1.1,RV.3.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-045,NIST-SP-800-218,1.1,RV.3.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-046,NIST-SP-800-218,1.1,RV.3.3,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-047,NIST-SP-800-218,1.1,RV.3.4,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
